City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
340,antsiranana,-12.2787,49.2917,23.13,70,5,7.23,MG,23-07-18
341,leoben,47.3461,15.1257,15.54,95,100,2.06,AT,23-07-18
342,ust-tsilma,65.441,52.1498,18.91,64,100,1.42,RU,23-07-18
343,hadgaon,19.5,77.6667,23.06,97,100,6.04,IN,23-07-18
344,kizel,59.0471,57.6477,17.91,96,100,0.89,RU,23-07-18
345,colares,38.7992,-9.4469,22.61,67,20,8.23,PT,23-07-18
346,gebeit,21.0667,36.3167,33.71,15,6,2.27,SD,23-07-18
347,cartagena del chaira,1.3349,-74.8429,28.76,67,35,1.69,CO,23-07-18
348,barbastro,42.0356,0.1269,35.3,20,95,2.51,ES,23-07-18
349,primero de mayo,-32.2552,-58.4228,12.12,48,27,2.43,AR,23-07-18
350,bar,49.0772,27.6826,17.25,77,0,3.18,UA,23-07-18
351,chiredzi,-21.05,31.6667,16.34,46,0,1.81,ZW,23-07-18
352,columbia falls,48.3725,-114.1815,25.24,27,0,3.77,US,23-07-18
